Merchant,Currency,Country,Channel,Security,Authorized,Declines
Tesco,USD,Spain,Channel 1,Sec 1,10000,918
Tesco,USD,Spain,Channel 1,Sec 2,1969,626
Tesco,USD,Spain,Channel 1,Sec 3,3103,805
Tesco,USD,Spain,Channel 2,Sec 1,7094,661
Tesco,USD,Spain,Channel 2,Sec 2,7482,891
Tesco,USD,Spain,Channel 2,Sec 3,1445,893
Tesco,USD,Italy,Channel 1,Sec 1,2755,958
Tesco,USD,Italy,Channel 1,Sec 2,7361,641
Tesco,USD,Italy,Channel 1,Sec 3,8493,577
Tesco,USD,Italy,Channel 2,Sec 1,2959,980
Tesco,USD,Italy,Channel 2,Sec 2,6867,735
Tesco,USD,Italy,Channel 2,Sec 3,3971,648
Tesco,GBP,Spain,Channel 1,Sec 1,9425,701
Tesco,GBP,Spain,Channel 1,Sec 2,5536,948
Tesco,GBP,Spain,Channel 1,Sec 3,3365,727
Tesco,GBP,Spain,Channel 2,Sec 1,9839,583
Tesco,GBP,Spain,Channel 2,Sec 2,5097,652
Tesco,GBP,Spain,Channel 2,Sec 3,8017,894
Tesco,GBP,Italy,Channel 1,Sec 1,2731,914
Tesco,GBP,Italy,Channel 1,Sec 2,1636,920
Tesco,GBP,Italy,Channel 1,Sec 3,6387,515
Tesco,GBP,Italy,Channel 2,Sec 1,5560,991
Tesco,GBP,Italy,Channel 2,Sec 2,5595,972
Tesco,GBP,Italy,Channel 2,Sec 3,5285,891
Aldo,USD,Spain,Channel 1,Sec 1,1779,750
Aldo,USD,Spain,Channel 1,Sec 2,4571,793
Aldo,USD,Spain,Channel 1,Sec 3,3279,987
Aldo,USD,Spain,Channel 2,Sec 1,5424,953
Aldo,USD,Spain,Channel 2,Sec 2,3276,650
Aldo,USD,Spain,Channel 2,Sec 3,6197,788
Aldo,USD,Italy,Channel 1,Sec 1,3226,537
Aldo,USD,Italy,Channel 1,Sec 2,7639,639
Aldo,USD,Italy,Channel 1,Sec 3,5334,971
Aldo,USD,Italy,Channel 2,Sec 1,9763,601
Aldo,USD,Italy,Channel 2,Sec 2,2453,801
Aldo,USD,Italy,Channel 2,Sec 3,1921,882
Aldo,GBP,Spain,Channel 1,Sec 1,8214,711
Aldo,GBP,Spain,Channel 1,Sec 2,4293,714
Aldo,GBP,Spain,Channel 1,Sec 3,7849,958
Aldo,GBP,Spain,Channel 2,Sec 1,3385,503
Aldo,GBP,Spain,Channel 2,Sec 2,9973,768
Aldo,GBP,Spain,Channel 2,Sec 3,4195,826
Aldo,GBP,Italy,Channel 1,Sec 1,2811,674
Aldo,GBP,Italy,Channel 1,Sec 2,8439,567
Aldo,GBP,Italy,Channel 1,Sec 3,6595,572
Aldo,GBP,Italy,Channel 2,Sec 1,6054,734
Aldo,GBP,Italy,Channel 2,Sec 2,7180,975
Aldo,GBP,Italy,Channel 2,Sec 3,1267,776